Chapter Title,Status,Word Count,Google Doc Link,Edit Notes,Due Date
Chapter Zero: 941 Decatur,Final,,,Origin chapter — Kaldi's coffee counter on Decatur Street.,
Chapter Zero-Point-Five: The Humbling,Final,,,COVID 2020 — Baron starts over in kitchens.,
Chapter Zero-Point-Six: The Man Who Made Him,Final,,,Chef Conti Jasper at ACE Hotel — mentorship arc.,
Prologue: Just Cooking,Final,,,First-shift reality check.,
Chapter 1: The Heartbeat,Final,,,Storage room ritual; introduces the Apothecary crew.,
Chapter 2: Rampart,Final,,,Baron's lead cook — single father, quiet mentorship.,
Chapter 3: The Friday Night Rush,Final,,,POS crash; shellfish allergy scare; Baron in command.,
Chapter 4: The Scarlet Redfish Crisis,Final,,,Oven failure — the pivot and the save.,
Chapter 5: The Bar,Client Review,,,Melpomene's insult — the spark of the idea.,
Chapter 6: The Walk Home,Human Edit,,,First hint of Olivia's voice; Calliope; "I hate it here.",
Chapter 7: The Birth of the Scarlet Elixir,AI Draft,,,Origin of the signature reduction — see research item on Gulf Remedy distinction.,
Chapter 8: Elysian Fields,Not started,,,Permit battle on Canal Street.,
Chapter 9: Roe Velvet,Not started,,,Baron's absurdist dessert; Calliope pushes him forward.,
